# Binding energy computed at nf=2, nt=50, Z_2 at order k^2
# mu_B/m_B   @k=0.02                   @k=0.04                   @k=0.06
1.0158      -0.0023961500232069824    -0.009642972082965162     -0.023038614448189932
1.016       -0.002396493067852047     -0.00964004477234917      -0.02296067357614009
1.0162      -0.0023968046660795316    -0.009637267237799993     -0.0228861445803204
1.0164      -0.0023970876893221606    -0.009634636868475658     -0.02281496680356716
1.0166      -0.0023973447488309847    -0.009632150202323626     -0.022747068326471834
1.0168      -0.002397578218885029     -0.00962980311009097      -0.022682367963262846
1.017       -0.0023977902579978877    -0.009627590953403006     -0.022620777060724084
1.0171      -0.002397982828281392     -0.009625508719709326     -0.0225622011081582
1.0174      -0.0023981577131162177    -0.00962355113671496      -0.02250654116829235
1.0176      -0.002398316533269088     -0.009621712768718078     -0.022453695140294407
1.0178      -0.0023984607615863515    -0.009619988097072884     -0.0224035588668068
1.018       -0.00239859173638419      -0.009618371586794855     -0.022356027097239665
1.0182      -0.0023987106736465566    -0.009616857741127973     -0.022310994319565455
1.0184      -0.0023988186781333885    -0.009615441145705879     -0.022268355472614694
1.0186      -0.002398916753493437     -0.009614116503762024     -0.0222280065504428
1.0188      -0.0023990058114685196    -0.009612878663678623     -0.02218984510977866
1.019       -0.0023990866802688074    -0.009611722640012952     -0.02215377069092013
1.0191      -0.0023991601121922273    -0.009610643629000746     -0.022119685161740205
1.0194      -0.0023992267905548286    -0.009609637019411517     -0.022087492993738748
1.0196      -0.002399287335993406     -0.009608698399517071     -0.02205710147835849
1.0198      -0.0023993423121962793    -0.009607823560834072     -0.022028420891048433
1.02        -0.0023993922311134497    -0.00960700849921124      -0.02200136460988264
