# binding energy as a function of mu_b / m_b with the pade approximants, kappa = 0.08, nt = 50, beta = 0
# h2     [[0/1]]                   [[1/1]]                   [[2/1]]                   [[2/2]]
0.9583  -6.506382832955048e-7     -2.845683603664003e-7     -1.772284949132133e-7     -1.799848624790916e-7
0.9584  -6.687587124946324e-7     -2.924927294751144e-7     -1.8216446314273313e-7    -1.8499701221525703e-7
0.9585  -6.873837273700065e-7     -3.006377100929486e-7     -1.8723788587358095e-7    -1.9014870483483073e-7
0.9586  -7.065273746338895e-7     -3.090094406737093e-7     -1.924525899391755e-7     -1.954438234453977e-7
0.9587  -7.262040918008217e-7     -3.176142302903565e-7     -1.9781250866428632e-7    -2.0088635910423754e-7
0.9588  -7.464287180475954e-7     -3.2645856335728115e-7    -2.0332168482242893e-7    -2.0648041381421643e-7
0.9589  -7.672165053738084e-7     -3.3554910450269763e-7    -2.0898427367737897e-7    -2.122302035984499e-7
0.959   -7.885831300718523e-7     -3.4489270355839485e-7    -2.148045461141703e-7     -2.1814006166603074e-7
0.9591  -8.105447045149675e-7     -3.5449640069814946e-7    -2.2078689184929506e-7    -2.2421444165994426e-7
0.9592  -8.331177892717046e-7     -3.6436743170771066e-7    -2.2693582273258077e-7    -2.3045792100054818e-7
0.9593  -8.563194055559925e-7     -3.7451323341576804e-7    -2.332559761452485e-7     -2.3687520431026013e-7
0.9594  -8.801670480223631e-7     -3.8494144925747315e-7    -2.397521184845032e-7     -2.4347112694989007e-7
0.9595  -9.046786979151219e-7     -3.956599349995327e-7     -2.4642914875119646e-7    -2.502506586313198e-7
0.9596  -9.298728365821046e-7     -4.0667676462738576e-7    -2.532921022318747e-7     -2.5721890715421566e-7
0.9597  -9.557684593621462e-7     -4.180002363846316e-7     -2.603461542876074e-7     -2.643811222215032e-7
0.9598  -9.823850898572748e-7     -4.2963887898731027e-7    -2.675966242445938e-7     -2.7174269937761144e-7
0.9599  -1.00974279459991e-6      -4.4160145800284596e-7    -2.7504897939156943e-7    -2.7930918404452723e-7
0.96    -1.0378621981258072e-6    -4.538969824070992e-7     -2.827088390936122e-7     -2.87086275680205e-7
0.9601  -1.0667644984639857e-6    -4.665347113284509e-7     -2.905819790141602e-7     -2.9507983203840076e-7
0.9602  -1.0964714830554887e-6    -4.795241609613703e-7     -2.9867433545331844e-7    -3.0329587355446764e-7
0.9603  -1.1270055451118902e-6    -4.928751116893739e-7     -3.0699200981257544e-7    -3.117405878508665e-7
0.9604  -1.1583897004266457e-6    -5.06597615387558e-7      -3.155412731800514e-7     -3.2042033436309354e-7
0.9605  -1.1906476046508694e-6    -5.207020029324197e-7     -3.243285710379499e-7     -3.293416490951881e-7
0.9606  -1.2238035710466164e-6    -5.351988919234638e-7     -3.333605281067145e-7     -3.385112495073822e-7
0.9607  -1.2578825887309147e-6    -5.500991946042902e-7     -3.426439533228466e-7     -3.479360395379057e-7
0.9608  -1.2929103414238907e-6    -5.654141260119603e-7     -3.5218584494794e-7       -3.576231147569553e-7
0.9609  -1.3289132267143067e-6    -5.811552123453908e-7     -3.6199339582728867e-7    -3.6757976766878663e-7
0.961   -1.3659183758577572e-6    -5.973342995613407e-7     -3.720739987894807e-7     -3.7781349316043687e-7
0.9611  -1.4039536741207406e-6    -6.139635622106272e-7     -3.8243525219446824e-7    -3.883319940919069e-7
0.9612  -1.4430477816869319e-6    -6.310555125120673e-7     -3.930849656373278e-7     -3.991431870463884e-7
0.9613  -1.4832301551398746e-6    -6.486230096788584e-7     -4.040311658117044e-7     -4.102552082389276e-7
0.9614  -1.524531069538303e-6     -6.666792694917599e-7     -4.152821025263736e-7     -4.216764195790109e-7
0.9615  -1.5669816411007592e-6    -6.85237874150433e-7      -4.268462549001835e-7     -4.3341541491049696e-7
