# Baryon mass and effective baryon mass computed at different kappa
# kappa  mb                  mb_eff
#0.239    2.1147657820772032  1.8858705944448237
#0.240    2.1007055333317015  1.86964634493192
0.241    2.0866759126601457  1.8534444845138887
#0.242    2.072676143385275   1.8372644281197958
#0.243    2.058705446447019   1.8211055982839341
#0.244    2.0447630400929913  1.8049674252568648
#0.245    2.0308481395630706  1.7888493471272806
0.246    2.0169599567677117  1.7727508099549607
#0.247    2.0030976999595995  1.7566712679151593
#0.248    1.989260573398267   1.7406101834547503
#0.249    1.975447777007263   1.7245670274604943
0.25     1.9616585060234524  1.7085412794397805
